Subject	Trial	Wlist	Clist	Congruency	RT	Accuracy
18	1	blue	yellow	inc	512.975633175678	1
18	2	blue	blue	con	369.319021518966	0
18	3	red	green	inc	520.796409326972	1
18	4	yellow	red	inc	762.143179903682	1
18	5	red	blue	inc	561.614651501327	1
18	6	red	green	inc	672.483936526766	1
18	7	green	green	con	532.367483594054	0
18	8	green	green	con	490.406411312178	1
18	9	blue	blue	con	444.018746862781	1
18	10	blue	blue	con	669.122357813601	1
18	11	blue	red	inc	412.868986274717	1
18	12	yellow	yellow	con	319.900749668928	1
18	13	green	red	inc	691.142334276546	1
18	14	blue	blue	con	607.632245062112	1
18	15	blue	blue	con	525.153090325761	1
18	16	red	yellow	inc	469.828018325972	1
18	17	blue	blue	con	633.354460622828	1
18	18	red	red	con	435.06165565586	1
18	19	green	green	con	679.166500719144	1
18	20	red	yellow	inc	404.21807696443	1
18	21	red	red	con	350.285742690655	1
18	22	yellow	yellow	con	516.136836261628	1
18	23	blue	blue	con	597.998806842818	1
18	24	blue	yellow	inc	588.239309549668	1
18	25	red	red	con	612.135412191533	1
18	26	yellow	yellow	con	554.944058292962	1
18	27	red	green	inc	560.157427339999	1
18	28	yellow	red	inc	511.867100975322	1
18	29	blue	green	inc	709.544817879878	1
18	30	yellow	red	inc	721.669360336329	0
18	31	yellow	blue	inc	590.605957413567	0
18	32	blue	green	inc	505.835737841233	0
18	33	yellow	green	inc	451.239695170889	1
18	34	green	yellow	inc	569.090024771504	1
18	35	red	red	con	648.417755097632	1
18	36	blue	yellow	inc	602.493108064266	0
18	37	yellow	yellow	con	428.321215908085	1
18	38	red	red	con	335.155271790219	1
18	39	green	green	con	550.260046897654	1
18	40	red	red	con	476.914102095644	1
18	41	green	green	con	596.326395551836	1
18	42	green	green	con	439.488472865655	1
18	43	yellow	green	inc	579.04602213221	1
18	44	green	red	inc	563.907056136761	1
18	45	blue	blue	con	453.177939134901	0
18	46	yellow	green	inc	588.713408509486	1
18	47	red	red	con	580.507057598249	1
18	48	yellow	yellow	con	672.441000784517	1
18	49	red	red	con	474.399920782933	0
18	50	green	yellow	inc	365.216123914622	1
18	51	blue	blue	con	571.17853173328	1
18	52	green	green	con	712.450990995446	1
18	53	red	red	con	404.205338780459	1
18	54	green	red	inc	428.344569817062	1
18	55	green	green	con	457.125564724177	1
18	56	yellow	blue	inc	668.434715034502	0
18	57	red	yellow	inc	600.37911359973	1
18	58	green	yellow	inc	465.106224366326	1
18	59	blue	blue	con	675.259796189779	1
18	60	blue	green	inc	537.478133003228	0
18	61	yellow	green	inc	586.132068226843	1
18	62	yellow	yellow	con	305.616092010894	1
18	63	yellow	yellow	con	618.563788722917	1
18	64	green	blue	inc	494.133726854583	1
18	65	yellow	yellow	con	484.0492497202	1
18	66	blue	red	inc	577.785645483251	0
18	67	blue	red	inc	606.367655952208	0
18	68	blue	blue	con	429.480695054204	1
18	69	green	green	con	405.912190506381	1
18	70	red	red	con	652.914080207506	1
18	71	blue	green	inc	574.483974818328	1
18	72	red	blue	inc	493.776181416439	1
18	73	green	blue	inc	444.096622070748	1
18	74	yellow	yellow	con	398.573413705901	1
18	75	green	green	con	349.296638306124	1
18	76	yellow	yellow	con	630.759423190535	1
18	77	blue	blue	con	529.30810558528	1
18	78	green	blue	inc	636.572734589218	1
18	79	red	red	con	705.686660638411	1
18	80	blue	red	inc	684.319549463033	1
18	81	yellow	blue	inc	601.607183076562	0
18	82	green	red	inc	584.132041508917	1
18	83	green	green	con	372.069488967176	1
18	84	red	yellow	inc	368.901660342533	1
18	85	red	blue	inc	527.987637196107	1
18	86	yellow	blue	inc	495.55669043314	1
18	87	green	blue	inc	669.098344797105	1
18	88	yellow	yellow	con	560.9776438934	1
18	89	yellow	red	inc	484.215234472577	1
18	90	blue	yellow	inc	405.307389376218	1
18	91	red	red	con	609.726216732706	1
18	92	yellow	yellow	con	548.156155907126	1
18	93	red	blue	inc	650.057874731788	0
18	94	red	green	inc	514.014642432917	1
18	95	green	green	con	457.210318382129	1
18	96	green	yellow	inc	524.377716644319	1
