Subject	Trial	Wlist	Clist	Congruency	RT	Accuracy
12	1	green	red	inc	242.177561046478	0
12	2	red	green	inc	595.474345489724	1
12	3	yellow	yellow	con	604.837786315113	1
12	4	red	red	con	584.557499453225	1
12	5	blue	blue	con	532.784750223565	1
12	6	blue	blue	con	575.204430373765	1
12	7	red	blue	inc	605.959561596414	1
12	8	yellow	yellow	con	448.849226518188	1
12	9	green	green	con	417.335414070922	1
12	10	red	blue	inc	588.025009277611	1
12	11	blue	blue	con	493.501805094467	1
12	12	red	yellow	inc	491.414458225001	1
12	13	green	yellow	inc	453.401424574157	1
12	14	blue	blue	con	513.948555664428	1
12	15	yellow	green	inc	410.764533740128	1
12	16	yellow	yellow	con	340.187494668853	1
12	17	red	red	con	480.266422697083	1
12	18	blue	blue	con	647.907318146354	1
12	19	green	green	con	482.203126070578	1
12	20	blue	red	inc	658.080407550143	1
12	21	blue	yellow	inc	578.406886608472	1
12	22	green	green	con	579.053954954163	1
12	23	yellow	green	inc	409.435535860057	1
12	24	red	red	con	388.65162225792	1
12	25	red	red	con	439.890589662339	1
12	26	yellow	yellow	con	512.256193359269	1
12	27	blue	blue	con	215.706121589076	1
12	28	yellow	blue	inc	704.421436702767	0
12	29	yellow	yellow	con	635.675203168703	1
12	30	blue	yellow	inc	289.436794037114	1
12	31	green	red	inc	531.954752505434	1
12	32	yellow	blue	inc	721.700515087432	1
12	33	blue	green	inc	591.63579278102	0
12	34	yellow	green	inc	835.571216853443	1
12	35	green	green	con	398.333819608546	1
12	36	blue	green	inc	536.319777646949	1
12	37	blue	green	inc	624.387797588662	1
12	38	red	red	con	518.973541980712	1
12	39	yellow	yellow	con	487.278031992563	1
12	40	yellow	yellow	con	585.573204079227	1
12	41	red	red	con	456.73871653651	1
12	42	green	blue	inc	540.363113569056	1
12	43	red	red	con	452.369220207789	1
12	44	yellow	yellow	con	618.628699934579	1
12	45	green	green	con	535.972198391608	1
12	46	red	red	con	561.581210020646	1
12	47	blue	red	inc	514.666189580116	1
12	48	green	green	con	686.093561901341	1
12	49	blue	blue	con	328.82680933191	1
12	50	red	green	inc	564.03680846792	1
12	51	green	yellow	inc	660.779216231833	0
12	52	yellow	yellow	con	439.443196967195	1
12	53	blue	blue	con	457.037423795277	1
12	54	blue	green	inc	464.60943482967	1
12	55	green	red	inc	393.50280680923	1
12	56	green	blue	inc	343.570968889835	1
12	57	blue	red	inc	371.880104152668	1
12	58	red	red	con	467.573829132984	1
12	59	red	red	con	406.365684039127	1
12	60	green	yellow	inc	607.0173047121	1
12	61	yellow	yellow	con	422.951910394001	0
12	62	red	yellow	inc	669.137282605534	1
12	63	red	blue	inc	585.196917672629	0
12	64	green	green	con	611.872896956537	1
12	65	yellow	blue	inc	417.869345712915	1
12	66	green	blue	inc	486.544488392527	1
12	67	yellow	red	inc	607.4594134877	1
12	68	red	yellow	inc	452.750982661739	1
12	69	yellow	red	inc	512.437481758557	1
12	70	red	red	con	591.01908161305	1
12	71	red	red	con	299.736297707306	1
12	72	green	green	con	402.277550543108	1
12	73	green	red	inc	501.510735193007	1
12	74	blue	blue	con	616.635552736122	0
12	75	green	blue	inc	513.680570073514	0
12	76	blue	blue	con	701.165823358003	1
12	77	green	green	con	631.062837729134	1
12	78	yellow	red	inc	485.797296369108	1
12	79	yellow	yellow	con	448.618386426853	1
12	80	green	green	con	435.360805789197	0
12	81	yellow	blue	inc	585.856364658146	0
12	82	blue	red	inc	630.690400067842	1
12	83	blue	yellow	inc	692.173854292113	1
12	84	blue	blue	con	543.225011513472	1
12	85	green	green	con	325.841808843149	1
12	86	red	yellow	inc	509.557227083523	1
12	87	green	green	con	436.483723542894	1
12	88	red	green	inc	510.242258562606	0
12	89	yellow	red	inc	544.196917333553	1
12	90	yellow	green	inc	642.138182406714	1
12	91	green	yellow	inc	557.103142169092	1
12	92	blue	yellow	inc	548.433138147182	1
12	93	blue	blue	con	432.651889963011	1
12	94	yellow	yellow	con	384.225239187279	1
12	95	red	blue	inc	624.422368267832	1
12	96	red	green	inc	517.977807665923	1
