Subject	Trial	Wlist	Clist	Congruency	RT	Accuracy
8	1	red	blue	inc	407.924554245374	1
8	2	blue	blue	con	487.537184176447	1
8	3	green	green	con	357.412938537019	1
8	4	blue	blue	con	598.502857618554	0
8	5	yellow	green	inc	729.559322707829	1
8	6	yellow	yellow	con	505.287575690107	1
8	7	red	green	inc	513.834553543109	1
8	8	green	blue	inc	459.374844316191	0
8	9	green	yellow	inc	658.537385752115	1
8	10	yellow	blue	inc	687.211496575713	1
8	11	blue	blue	con	555.19173134911	1
8	12	green	red	inc	631.61715616693	0
8	13	yellow	red	inc	527.574353425473	0
8	14	green	green	con	541.803677556989	1
8	15	red	red	con	560.398553058758	1
8	16	blue	blue	con	475.865973150895	1
8	17	red	blue	inc	679.432981688971	0
8	18	blue	red	inc	517.156887713477	1
8	19	green	red	inc	529.313139005943	1
8	20	green	green	con	482.205114152922	1
8	21	red	yellow	inc	686.4364739448	1
8	22	yellow	green	inc	575.263502348683	0
8	23	red	red	con	450.082519608609	1
8	24	blue	blue	con	581.706195528914	1
8	25	red	red	con	385.939612569492	1
8	26	blue	yellow	inc	533.416954382988	1
8	27	yellow	yellow	con	656.992649272978	0
8	28	blue	red	inc	575.864182095169	1
8	29	red	red	con	563.144063063643	1
8	30	red	green	inc	676.70503742293	0
8	31	yellow	yellow	con	672.894547502511	0
8	32	blue	green	inc	608.67997388508	0
8	33	green	blue	inc	624.264060463699	0
8	34	red	red	con	410.865675167819	1
8	35	red	red	con	772.790621246389	1
8	36	yellow	yellow	con	405.993046413768	1
8	37	yellow	green	inc	611.27574219524	1
8	38	blue	blue	con	523.720219146277	0
8	39	red	green	inc	601.180821556884	0
8	40	yellow	blue	inc	502.186561027692	1
8	41	green	green	con	544.20016348279	1
8	42	blue	red	inc	789.495232314604	0
8	43	green	blue	inc	695.881952155297	1
8	44	blue	blue	con	788.725357063449	1
8	45	blue	red	inc	620.492611912369	1
8	46	red	blue	inc	434.862659151675	1
8	47	blue	blue	con	457.125044951161	1
8	48	yellow	yellow	con	471.144313923117	1
8	49	yellow	yellow	con	575.300961188899	1
8	50	green	yellow	inc	742.628551757865	1
8	51	blue	yellow	inc	481.348723600395	1
8	52	red	yellow	inc	522.365752839103	1
8	53	yellow	yellow	con	530.448690902574	0
8	54	green	red	inc	778.931132380157	0
8	55	blue	green	inc	522.787374347224	1
8	56	red	red	con	556.517979458185	1
8	57	blue	green	inc	714.705575111546	0
8	58	red	red	con	604.418140046859	1
8	59	green	blue	inc	495.755532625573	1
8	60	green	green	con	413.331456032207	0
8	61	red	yellow	inc	673.847438011639	0
8	62	green	green	con	414.12521999071	1
8	63	yellow	yellow	con	357.680767052706	0
8	64	green	yellow	inc	597.849073047795	1
8	65	red	red	con	512.853398717065	1
8	66	yellow	red	inc	630.182636933456	1
8	67	yellow	yellow	con	486.583977383109	1
8	68	yellow	yellow	con	759.790190992948	1
8	69	blue	blue	con	580.692657170901	1
8	70	green	green	con	453.086975679007	1
8	71	green	red	inc	688.164061353405	1
8	72	green	green	con	429.162624919072	1
8	73	blue	yellow	inc	389.424941197864	1
8	74	blue	green	inc	645.311278231626	0
8	75	red	red	con	340.599244886849	1
8	76	red	yellow	inc	590.356733300999	1
8	77	green	yellow	inc	550.663017888207	0
8	78	yellow	green	inc	506.386629023184	1
8	79	blue	blue	con	402.429424958026	0
8	80	red	red	con	340.206049898225	1
8	81	red	red	con	581.836257417926	1
8	82	yellow	red	inc	431.485985117834	0
8	83	yellow	yellow	con	501.858747024937	1
8	84	blue	blue	con	699.667032071999	1
8	85	blue	blue	con	437.108567714958	0
8	86	green	green	con	481.106928044915	1
8	87	red	green	inc	530.519937295478	0
8	88	green	green	con	624.655240309297	1
8	89	blue	yellow	inc	572.101451863294	1
8	90	green	green	con	360.949746849867	1
8	91	red	blue	inc	683.570730930858	1
8	92	green	green	con	466.421304828594	1
8	93	yellow	yellow	con	600.744918793676	0
8	94	yellow	blue	inc	567.819881468556	1
8	95	yellow	red	inc	552.753122075846	1
8	96	yellow	blue	inc	618.30031609093	0
