Subject	Trial	Wlist	Clist	Congruency	RT	Accuracy
9	1	red	red	con	524.556284547652	0
9	2	red	blue	inc	554.223764856134	1
9	3	red	blue	inc	544.994012606354	1
9	4	blue	blue	con	465.665277530926	1
9	5	green	green	con	514.593026085733	1
9	6	red	red	con	489.931635513352	1
9	7	green	green	con	495.403420567262	1
9	8	blue	green	inc	580.918353853417	0
9	9	blue	yellow	inc	673.186685136036	1
9	10	red	yellow	inc	469.55135243296	1
9	11	red	yellow	inc	586.237953581615	1
9	12	green	green	con	380.187658441816	1
9	13	green	blue	inc	733.257412076642	0
9	14	yellow	yellow	con	393.2147575463	1
9	15	green	red	inc	504.20072770723	0
9	16	red	blue	inc	666.939381515365	1
9	17	yellow	red	inc	598.179203222629	1
9	18	yellow	green	inc	446.752845718622	0
9	19	blue	blue	con	646.575816767035	1
9	20	blue	blue	con	475.8149673633	1
9	21	red	green	inc	369.945820201645	0
9	22	yellow	blue	inc	606.269418747653	1
9	23	green	green	con	553.544098101125	1
9	24	yellow	red	inc	510.474861136259	1
9	25	red	yellow	inc	639.044530837458	0
9	26	yellow	green	inc	691.487037215682	1
9	27	yellow	yellow	con	491.163092438818	1
9	28	green	yellow	inc	470.632193965554	1
9	29	blue	red	inc	732.968617707942	1
9	30	green	yellow	inc	464.881701142681	1
9	31	blue	blue	con	368.305473533635	1
9	32	yellow	yellow	con	669.538892632892	1
9	33	yellow	green	inc	579.13977802451	1
9	34	red	green	inc	545.141240522961	0
9	35	yellow	blue	inc	350.243926990667	1
9	36	red	red	con	470.46091093591	1
9	37	blue	blue	con	669.32488309184	1
9	38	yellow	yellow	con	720.170742979628	1
9	39	green	yellow	inc	690.952194304563	0
9	40	yellow	yellow	con	438.542368067125	1
9	41	blue	red	inc	331.99279189429	1
9	42	red	red	con	513.694947634036	1
9	43	red	red	con	542.046255960668	1
9	44	blue	green	inc	547.608583628616	1
9	45	blue	green	inc	477.534765199426	1
9	46	blue	yellow	inc	502.150530355287	1
9	47	green	blue	inc	451.547908858817	1
9	48	yellow	yellow	con	468.954153246	1
9	49	green	blue	inc	753.048365277863	1
9	50	red	blue	inc	533.09817881134	1
9	51	blue	blue	con	564.885980484246	1
9	52	yellow	red	inc	409.323790306649	1
9	53	red	red	con	569.948038318929	1
9	54	red	green	inc	662.299098406365	0
9	55	red	green	inc	533.694161017855	1
9	56	green	green	con	342.70593994239	1
9	57	green	green	con	594.432948481156	1
9	58	red	yellow	inc	470.37553969279	1
9	59	green	green	con	528.721521771221	1
9	60	blue	blue	con	577.676515197482	1
9	61	yellow	yellow	con	461.512615347939	1
9	62	yellow	red	inc	490.795139543595	1
9	63	red	red	con	390.835518098145	1
9	64	red	red	con	450.036415529419	1
9	65	green	green	con	536.242436771092	1
9	66	yellow	blue	inc	648.959186803084	1
9	67	blue	yellow	inc	404.952776890799	0
9	68	blue	red	inc	375.69098621172	1
9	69	blue	yellow	inc	616.13035345904	1
9	70	green	blue	inc	599.795613328965	1
9	71	green	red	inc	522.004001183134	1
9	72	blue	red	inc	466.019357439006	1
9	73	blue	blue	con	535.194442877352	1
9	74	green	green	con	342.123950143226	1
9	75	yellow	yellow	con	525.145221117808	1
9	76	blue	blue	con	649.100829660239	1
9	77	green	red	inc	539.306287224506	1
9	78	red	red	con	489.700426844578	1
9	79	yellow	yellow	con	478.105171099403	0
9	80	blue	blue	con	387.170532207715	1
9	81	green	red	inc	570.934846098143	1
9	82	blue	blue	con	642.015187056062	1
9	83	red	red	con	509.606411420873	1
9	84	yellow	yellow	con	540.580319624246	1
9	85	red	red	con	504.341002197302	1
9	86	green	green	con	621.2665755059	1
9	87	yellow	blue	inc	605.211896149625	1
9	88	yellow	yellow	con	574.635020541314	1
9	89	blue	blue	con	571.443936760523	1
9	90	green	green	con	616.04900070533	1
9	91	yellow	yellow	con	535.90308846314	1
9	92	green	green	con	468.42578203218	1
9	93	green	yellow	inc	682.466077278249	1
9	94	yellow	green	inc	345.362122205975	1
9	95	blue	green	inc	599.242296392978	1
9	96	red	red	con	535.52684572012	0
